nome,nicho,tel,end,cidade,gmaps,site,siteUrl,social,dono,concorrentes,status,data1,dataFU,obs,varExtra
Hidraulicar - Oficina Direção Hidraulica,Oficinas,5585987503030,"Av. Mister Hull, 4771",Fortaleza,,Sim,,,,,Não contatado,,,Especializada em direção hidráulica.,direção hidráulica
AutoMec Fortal,Oficinas,5585981301303,"R. Monsenhor Catão, 1463",Fortaleza,,Sim,,,,,Não contatado,,,"Híbridos e elétricos, calibração ADAS.",veículos elétricos
WM Service Car Mecânica Especializada,Oficinas,5585311195333,"R. Quintino Cunha, 731",Fortaleza,,Sim,,,,,Não contatado,,,"4,9⭐ 589 avaliações.",
Oficina Mecânica 24 Horas,Oficinas,5585991111059,"R. B, 750",Fortaleza,,Não,,,,,Não contatado,,,🔥 SEM SITE. Aberta 24h.,
Oficina Fortaleza,Oficinas,5585323557611,,Fortaleza,,Não,,,,,Não contatado,,,🔥 SEM SITE. Tem WhatsApp no Maps.,
O Damião | Oficina Mecânica,Oficinas,5585328134644,"Av. Duque de Caxias, 2001",Fortaleza,,Sim,,,Damião,,Não contatado,,,"4,5⭐ 520 avaliações.",
A.R Emplamentos de Veículos,Despachantes,5585989906654,"R. M Lot Expedicionários III, 31",Fortaleza,,Sim,,,,,Não contatado,,,"4,8⭐ 301 avaliações.",
Despachante Documentalista Napoleão,Despachantes,5585999847587,"R. Olívio Câmara, 46",Fortaleza,,Sim,,,Napoleão,,Não contatado,,,"5,0⭐ 90 avaliações.",
SH Emplacamentos - Despachante,Despachantes,5585349187877,"Av. Godofredo Maciel, 2113",Fortaleza,,Sim,,,,,Não contatado,,,"5,0⭐ 713 avaliações.",
FC Despachante (Cézias Lima),Despachantes,5585996693796,"R. Morada Nova, 706",Fortaleza,,Sim,,,Cézias Lima,,Não contatado,,,"5,0⭐ 455 avaliações.",
Alysson Despachante Em Fortaleza,Despachantes,5585920010712,"R. Carlos Studart, 640",Fortaleza,,Sim,,,Alysson,,Não contatado,,,Aberto 24h.,
Academia Esporte Fitness,Academias,5585992673991,"R. Dona Leopoldina, 646",Fortaleza,,Não,,,,,Não contatado,,,"🔥 SEM SITE. 4,6⭐ 118 avaliações.",musculação
Academia The Fitness,Academias,5585992041299,"R. Melo de Oliveira, 1088",Fortaleza,,Não,,,,,Não contatado,,,"🔥 SEM SITE. 4,7⭐.",musculação
Central Fitness,Academias,558530172535,"R. da Assunção, 582",Fortaleza,,Não,,,,,Não contatado,,,"🔥 SEM SITE. 4,8⭐ 93 avaliações.",musculação
CB Fitness,Academias,558532614354,"Av. Padre Antônio Tomás, 199 - Aldeota",Fortaleza,,Não,,,,,Não contatado,,,"🔥 SEM SITE. 4,7⭐ 248 avaliações.",musculação
Fitclub Academia,Academias,5585988068181,"Av. Eng. Leal Lima Verde, 1650",Fortaleza,,Sim,,,,,Não contatado,,,"4,9⭐ 188 avaliações.",musculação
Samtal Controle de Pragas,Dedetizacao,558540420111,"R. Antônio Augusto, 1472 - Aldeota",Fortaleza,,Não,,,,,Não contatado,,,🔥 SEM SITE.,dedetização
Noprag Saúde Ambiental,Dedetizacao,5585981868205,"R. Iraci de Sousa, 207 B",Fortaleza,,Não,,,,,Não contatado,,,🔥 SEM SITE.,controle de pragas
Dedetizadora Controller Pragas,Dedetizacao,5585985786703,"R. Prof. Dias da Rocha, 409 A",Fortaleza,,Sim,,,,,Não contatado,,,Fortaleza.,dedetização
COMBO DEDETIZAÇÃO,Dedetizacao,5585986722720,"Rua Antonio Martins, 809 - Damas",Fortaleza,,Sim,,,,,Não contatado,,,,dedetização
Elétricista em Predial,Manutencao,5585996592819,R. Bárbara de Alencar - Centro,Fortaleza,,Não,,,,,Não contatado,,,🔥 SEM SITE.,elétrica predial
ICY Serviços | Manutenção para Condomínio,Manutencao,5585987661000,"R. Cap. Vasconcelos, 646 - Aerolândia",Fortaleza,,Sim,,,,,Não contatado,,,,manutenção predial
Lumina Manutenção Predial,Manutencao,5585997980108,Fortaleza,Fortaleza,,Sim,,,,,Não contatado,,,,manutenção predial
DEBITT Contabilidade,Contadores,558541029012,"Av. Dr. Silas Munguba, 800 - Parangaba",Fortaleza,,Sim,,,,,Não contatado,,,Escritório estabelecido.,MEI e LTDA
MKF Contabilidade,Contadores,5585987122553,"Av. Treze de Maio, 1116 - Fátima",Fortaleza,,Sim,,,,,Não contatado,,,,MEI e LTDA
